display  D   display_settings.c:517  _al_score_display_settings       [   0.08388] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08389] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08392] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08395] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08397] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08399] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08401] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08403] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08405] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08410] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08412] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08414] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08415] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08418] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08420] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08425] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08427] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08429] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08430] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08433] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08434] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08436] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08439] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08441] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08443] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08445] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08446] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08448] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08450] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08452] Single Buffer requirement not met.
